Epoch,Train_Loss,Val_Loss,Train_Acc,Val_Acc
1,0.2263527661561966,0.07388336956501007,93.14%,97.90%
2,0.08263511955738068,0.051942091435194016,97.55%,98.54%
3,0.05992937833070755,0.050356827676296234,98.17%,98.59%
4,0.051089540123939514,0.04123667627573013,98.43%,98.68%
5,0.041195839643478394,0.036913394927978516,98.72%,98.92%
6,0.03483488783240318,0.04417557269334793,98.85%,98.76%
7,0.02870427444577217,0.03959406912326813,99.14%,99.03%
8,0.025836246088147163,0.04282110184431076,99.19%,98.93%
9,0.01796730048954487,0.03571358323097229,99.40%,99.10%
10,0.012352668680250645,0.0389074869453907,99.57%,99.03%
11,0.0132292490452528,0.0393463633954525,99.57%,99.02%
12,0.0104147307574749,0.043789636343717575,99.63%,99.06%
13,0.0070230006240308285,0.041198622435331345,99.75%,99.16%
14,0.00635508494451642,0.046302713453769684,99.79%,99.12%
